"DISTRICT","BLOCK","VILLAGE","AGENCY","NSL (Metres)","SITE_NO","WELL / P.TUBE / DEEP-TUBE/     MGWOW","JUNE_98","OCT_98","JUNE_99","OCT_99","JUNE_2K","OCT_2K","JUNE_01","OCT_01","JUNE_02","OCT_02","JUNE_03","OCT_03","JUNE_04","OCT_04","JUNE_05","OCT_05","JUNE_06","OCT_06","JUNE_07","OCT_07","JUNE_08","OCT_08","JUNE_09","OCT_09","JUNE_10","OCT_10","JUNE_11","OCT_11",,,
AMRITSAR,AJNALA,RAMDAS,AGRI.,0.00,1,WELL,5.36,4.66,6.01,6.56,7.81,6.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
AMRITSAR,AJNALA,AJNALA,AGRI.,0.00,5.3,WELL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.21,10.38,10.48,10.18,10.43,10.83,10.88,10.98,11.18,10.85,11.33,10.93,10.58,10.38,10.50,11.48,11.83,12.63,12.48,12.68,,,
AMRITSAR,AJNALA,GAGGO MAHAL,AGRI.,229.95,6,WELL,4.69,2.79,4.59,5.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
AMRITSAR,AJNALA,AWAN,AGRI.,0.00,11,WELL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.26,5.93,7.04,5.66,6.46,5.76,0.00,0.00,,,,,,,,,,,,,,,
AMRITSAR,AJNALA,MAKHOWAL,AGRI.,0.00,109,WELL,7.82,7.40,8.65,8.00,9.55,7.52,9.62,8.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
AMRITSAR,AJNALA,THERRI,AGRI.,,111,,,,,,,,,,7.26,5.93,7.04,5.66,6.46,5.76,0.00,0.00,,,,,,,,,,,,,,,
AMRITSAR,AJNALA,RAIPUR KALAN,AGRI.,0.00,113,WELL,4.43,3.55,4.90,4.75,5.65,4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
AMRITSAR,AJNALA,RAMDAS,AGRI.,0.00,1-A,WELL,0.00,0.00,0.00,0.00,0.00,0.00,7.20,6.10,6.82,6.29,6.94,6.12,6.44,6.37,6.97,6.19,7.11,6.82,7.15,6.97,7.02,6.33,6.75,6.97,7.56,FILLED,NA,,,,
AMRITSAR,AJNALA,WACHHOYA,WRD.,229.43,72,MGWOW,,,,,,,,,,,,,,,,,,,,,,,,,9.55,9.32,9.80,8.21,,,
AMRITSAR,AJNALA,BHAGO PURA,WRD.,223.70,P-1344,PZ.,,,,0.00,10.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
AMRITSAR,AJNALA,GUJJRAN WALI,WRD.,226.80,P-1346,PZ.,,,0.00,5.35,6.40,5.85,6.30,6.05,6.70,6.90,6.93,6.83,7.30,7.30,7.30,7.10,7.90,8.30,8.80,7.50,8.05,7.50,7.80,6.91,8.10,7.51,,6.18,,,
AMRITSAR,AJNALA,CHETAN PURA,WRD.,235.61,W-4,WELL,4.91,4.36,5.16,5.16,6.44,6.16,6.76,5.91,7.01,6.96,7.36,7.26,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
AMRITSAR,AJNALA,AJNALA,WRD.,228.50,W-4-A,WELL,6.20,5.95,6.80,6.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
AMRITSAR,CHOGAWAN,KAKKAR,AGRI.,221.90,10,WELL,8.05,7.90,8.14,8.05,8.47,0.00,0.00,6.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
AMRITSAR,CHOGAWAN,LOPOKE,AGRI.,224.42,11,WELL,6.89,5.98,6.55,6.75,8.20,7.60,8.70,7.90,8.75,8.95,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
AMRITSAR,CHOGAWAN,BHINDI AULAKH,AGRI.,0.00,26.1,WELL,0.00,0.00,0.00,0.00,6.30,5.46,5.99,0.00,5.51,5.41,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
AMRITSAR,CHOGAWAN,KOHALI,AGRI.,0.00,27,WELL,0.00,0.00,0.00,5.90,8.90,7.20,8.15,0.00,9.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
